============================================================
  Parallel BigCrush -- perfect_random
  Tests: 106  x  2 (fwd+rev)  =  212 tasks
  Workers: 5  Seed: 49  Period: 73.8
  Repeats: 1
============================================================
  [OK]   #  3 FWD  smarsa_CollisionOver N=30 n=2e7 r=0 d=2^21 t=2  (284s)
  [OK]   # 29 FWD  sknuth_SimpPoker N=1 n=1e8 r=25 d=32 k=32  (6578s)
  [OK]   # 29 REV  sknuth_SimpPoker N=1 n=1e8 r=25 d=32 k=32  (6998s)
  [OK]   # 30 FWD  sknuth_CouponCollector N=1 n=2e8 r=0 d=8  (7320s)
  [OK]   # 30 REV  sknuth_CouponCollector N=1 n=2e8 r=0 d=8  (7324s)
  [OK]   # 31 FWD  sknuth_CouponCollector N=1 n=2e8 r=10 d=8  (7392s)
  [OK]   # 31 REV  sknuth_CouponCollector N=1 n=2e8 r=10 d=8  (7506s)
  [OK]   # 32 FWD  sknuth_CouponCollector N=1 n=2e8 r=20 d=8  (7917s)
  [OK]   # 33 FWD  sknuth_CouponCollector N=1 n=2e8 r=27 d=8  (8252s)
  [OK]   # 32 REV  sknuth_CouponCollector N=1 n=2e8 r=20 d=8  (8253s)
  [OK]   # 33 REV  sknuth_CouponCollector N=1 n=2e8 r=27 d=8  (8320s)
  [OK]   # 34 FWD  sknuth_Gap N=1 n=5e8 r=0 a=0 b=1/16  (9127s)
  [OK]   # 34 REV  sknuth_Gap N=1 n=5e8 r=0 a=0 b=1/16  (9559s)
  [OK]   # 35 FWD  sknuth_Gap N=1 n=3e8 r=25 a=0 b=1/32  (10225s)
  [OK]   # 35 REV  sknuth_Gap N=1 n=3e8 r=25 a=0 b=1/32  (10226s)
  [FAIL] # 36 FWD  sknuth_Gap N=1 n=1e8 r=0 a=0 b=1/128
  [OK]   # 38 FWD  sknuth_Run N=5 n=1e9 r=0 Up=false  (11271s)
  [FAIL] # 37 FWD  sknuth_Gap N=1 n=1e7 r=20 a=0 b=1/1024
  [FAIL] # 36 REV  sknuth_Gap N=1 n=1e8 r=0 a=0 b=1/128
  [OK]   # 38 REV  sknuth_Run N=5 n=1e9 r=0 Up=false  (11971s)
  [OK]   # 40 FWD  sknuth_Permutation N=1 n=1e9 r=0 t=3  (12320s)
  [FAIL] # 37 REV  sknuth_Gap N=1 n=1e7 r=20 a=0 b=1/1024
  [OK]   # 40 REV  sknuth_Permutation N=1 n=1e9 r=0 t=3  (12592s)
  [OK]   # 42 FWD  sknuth_Permutation N=1 n=5e8 r=0 t=7  (13321s)
  [OK]   # 41 FWD  sknuth_Permutation N=1 n=1e9 r=0 t=5  (13359s)
  [OK]   # 41 REV  sknuth_Permutation N=1 n=1e9 r=0 t=5  (13364s)
  [OK]   # 39 FWD  sknuth_Run N=5 n=1e9 r=15 Up=true  (13390s)
  [OK]   # 39 REV  sknuth_Run N=5 n=1e9 r=15 Up=true  (13758s)
  [OK]   # 42 REV  sknuth_Permutation N=1 n=5e8 r=0 t=7  (14050s)
  [OK]   # 43 FWD  sknuth_Permutation N=1 n=5e8 r=10 t=10  (14460s)
  [OK]   # 43 REV  sknuth_Permutation N=1 n=5e8 r=10 t=10  (14468s)
  [OK]   # 44 FWD  sknuth_CollisionPermut N=20 n=2e7 r=0 t=14  (14684s)
  [OK]   # 44 REV  sknuth_CollisionPermut N=20 n=2e7 r=0 t=14  (15038s)
  [OK]   # 46 FWD  sknuth_MaxOft N=40 n=1e7 r=0 d=1e5 t=8  (15175s)
  [OK]   # 45 FWD  sknuth_CollisionPermut N=20 n=2e7 r=10 t=14  (15347s)
