Логи трех прогонов: 512Мб,1Гб,2Гб,4Гб,8Гб,16Гб,32Гб,64Гб,128Гб.

32Мб,64Мб,128Мб,256Мб FAILED

C:\Users\User\rand>dieharder.exe -a -g 201 -f 512r.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        512r.bin|  5.73e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
    rgb_permutations|   5|    100000|     100|0.13952301|  PASSED
# The file file_input_raw was rewound 38 times
      rgb_lagged_sum|   0|   1000000|     100|0.92959991|  PASSED
# The file file_input_raw was rewound 40 times
      rgb_lagged_sum|   1|   1000000|     100|0.11820733|  PASSED
# The file file_input_raw was rewound 42 times
      rgb_lagged_sum|   2|   1000000|     100|0.12644555|  PASSED
# The file file_input_raw was rewound 45 times
      rgb_lagged_sum|   3|   1000000|     100|0.79298577|  PASSED
# The file file_input_raw was rewound 49 times
      rgb_lagged_sum|   4|   1000000|     100|0.14158451|  PASSED
# The file file_input_raw was rewound 53 times
      rgb_lagged_sum|   5|   1000000|     100|0.60678339|  PASSED
# The file file_input_raw was rewound 59 times
      rgb_lagged_sum|   6|   1000000|     100|0.22185210|  PASSED
# The file file_input_raw was rewound 65 times
      rgb_lagged_sum|   7|   1000000|     100|0.00000125|   WEAK
# The file file_input_raw was rewound 71 times
      rgb_lagged_sum|   8|   1000000|     100|0.68371430|  PASSED
# The file file_input_raw was rewound 79 times
      rgb_lagged_sum|   9|   1000000|     100|0.14783915|  PASSED
# The file file_input_raw was rewound 87 times
      rgb_lagged_sum|  10|   1000000|     100|0.22541206|  PASSED
# The file file_input_raw was rewound 96 times
      rgb_lagged_sum|  11|   1000000|     100|0.49561285|  PASSED
# The file file_input_raw was rewound 106 times
      rgb_lagged_sum|  12|   1000000|     100|0.05029881|  PASSED
# The file file_input_raw was rewound 116 times
      rgb_lagged_sum|  13|   1000000|     100|0.36187831|  PASSED
# The file file_input_raw was rewound 127 times
      rgb_lagged_sum|  14|   1000000|     100|0.27554177|  PASSED
# The file file_input_raw was rewound 139 times
      rgb_lagged_sum|  15|   1000000|     100|0.00011499|   WEAK
# The file file_input_raw was rewound 152 times
      rgb_lagged_sum|  16|   1000000|     100|0.05614487|  PASSED
# The file file_input_raw was rewound 165 times
      rgb_lagged_sum|  17|   1000000|     100|0.05030055|  PASSED
# The file file_input_raw was rewound 179 times
      rgb_lagged_sum|  18|   1000000|     100|0.70416380|  PASSED
# The file file_input_raw was rewound 194 times
      rgb_lagged_sum|  19|   1000000|     100|0.94968840|  PASSED
# The file file_input_raw was rewound 210 times
      rgb_lagged_sum|  20|   1000000|     100|0.03612214|  PASSED
# The file file_input_raw was rewound 226 times
      rgb_lagged_sum|  21|   1000000|     100|0.10370524|  PASSED
# The file file_input_raw was rewound 243 times
      rgb_lagged_sum|  22|   1000000|     100|0.22245549|  PASSED
# The file file_input_raw was rewound 261 times
      rgb_lagged_sum|  23|   1000000|     100|0.00902768|  PASSED
# The file file_input_raw was rewound 280 times
      rgb_lagged_sum|  24|   1000000|     100|0.04976512|  PASSED
# The file file_input_raw was rewound 299 times
      rgb_lagged_sum|  25|   1000000|     100|0.30052584|  PASSED
# The file file_input_raw was rewound 319 times
      rgb_lagged_sum|  26|   1000000|     100|0.07509285|  PASSED
# The file file_input_raw was rewound 340 times
      rgb_lagged_sum|  27|   1000000|     100|0.14286641|  PASSED
# The file file_input_raw was rewound 362 times
      rgb_lagged_sum|  28|   1000000|     100|0.43577650|  PASSED
# The file file_input_raw was rewound 384 times
