C:\Users\User\rand>dieharder.exe -a -g 201 -f kmsh.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|                        kmsh.bin|  5.68e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  10|   1000000|     100|0.70279680|  PASSED
# The file file_input_raw was rewound 3 times
      rgb_lagged_sum|  11|   1000000|     100|0.38477284|  PASSED
# The file file_input_raw was rewound 3 times
      rgb_lagged_sum|  12|   1000000|     100|0.16168003|  PASSED
# The file file_input_raw was rewound 3 times
      rgb_lagged_sum|  13|   1000000|     100|0.52348690|  PASSED
# The file file_input_raw was rewound 4 times
      rgb_lagged_sum|  14|   1000000|     100|0.68029492|  PASSED
# The file file_input_raw was rewound 4 times
      rgb_lagged_sum|  15|   1000000|     100|0.49861327|  PASSED
# The file file_input_raw was rewound 4 times
      rgb_lagged_sum|  16|   1000000|     100|0.07088631|  PASSED
# The file file_input_raw was rewound 5 times
      rgb_lagged_sum|  17|   1000000|     100|0.56702521|  PASSED
# The file file_input_raw was rewound 5 times
      rgb_lagged_sum|  18|   1000000|     100|0.34052764|  PASSED
# The file file_input_raw was rewound 6 times
      rgb_lagged_sum|  19|   1000000|     100|0.82626062|  PASSED
# The file file_input_raw was rewound 6 times
      rgb_lagged_sum|  20|   1000000|     100|0.94059150|  PASSED
# The file file_input_raw was rewound 7 times
      rgb_lagged_sum|  21|   1000000|     100|0.46552520|  PASSED
# The file file_input_raw was rewound 7 times
      rgb_lagged_sum|  22|   1000000|     100|0.48166819|  PASSED
# The file file_input_raw was rewound 8 times
      rgb_lagged_sum|  23|   1000000|     100|0.30278116|  PASSED
# The file file_input_raw was rewound 9 times
      rgb_lagged_sum|  24|   1000000|     100|0.37167204|  PASSED
# The file file_input_raw was rewound 9 times
      rgb_lagged_sum|  25|   1000000|     100|0.02064487|  PASSED
# The file file_input_raw was rewound 10 times
      rgb_lagged_sum|  26|   1000000|     100|0.98745838|  PASSED
