16 480 956 600 байт , целое, бинарный, 0, 256, byte, mshunko
C:\Users\User\rand>dieharder.exe -a -g 201 -f .\sts-2.1.2\kmsh.bin
#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
 file_input_raw|            .\sts-2.1.2\kmsh.bin|  5.63e+07  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|   9|   1000000|     100|0.73437934|  PASSED
# The file file_input_raw was rewound 2 times
      rgb_lagged_sum|  10|   1000000|     100|0.08687514|  PASSED
# The file file_input_raw was rewound 3 times
      rgb_lagged_sum|  11|   1000000|     100|0.39483630|  PASSED
# The file file_input_raw was rewound 3 times
      rgb_lagged_sum|  12|   1000000|     100|0.93026834|  PASSED
# The file file_input_raw was rewound 3 times
      rgb_lagged_sum|  13|   1000000|     100|0.69152712|  PASSED
# The file file_input_raw was rewound 4 times
      rgb_lagged_sum|  14|   1000000|     100|0.72077907|  PASSED
# The file file_input_raw was rewound 4 times
      rgb_lagged_sum|  15|   1000000|     100|0.14743453|  PASSED
# The file file_input_raw was rewound 4 times
      rgb_lagged_sum|  16|   1000000|     100|0.52601135|  PASSED
# The file file_input_raw was rewound 5 times
      rgb_lagged_sum|  17|   1000000|     100|0.23874222|  PASSED
# The file file_input_raw was rewound 5 times
      rgb_lagged_sum|  18|   1000000|     100|0.10289316|  PASSED
# The file file_input_raw was rewound 6 times
      rgb_lagged_sum|  19|   1000000|     100|0.87959980|  PASSED
# The file file_input_raw was rewound 6 times
      rgb_lagged_sum|  20|   1000000|     100|0.90940193|  PASSED
# The file file_input_raw was rewound 7 times
      rgb_lagged_sum|  21|   1000000|     100|0.79363789|  PASSED
# The file file_input_raw was rewound 7 times
      rgb_lagged_sum|  22|   1000000|     100|0.91670703|  PASSED
# The file file_input_raw was rewound 8 times
      rgb_lagged_sum|  23|   1000000|     100|0.58046176|  PASSED
# The file file_input_raw was rewound 9 times
      rgb_lagged_sum|  24|   1000000|     100|0.81982785|  PASSED
# The file file_input_raw was rewound 9 times
      rgb_lagged_sum|  25|   1000000|     100|0.32707916|  PASSED
# The file file_input_raw was rewound 10 times
      rgb_lagged_sum|  26|   1000000|     100|0.54751233|  PASSED
# The file file_input_raw was rewound 11 times
      rgb_lagged_sum|  27|   1000000|     100|0.78650707|  PASSED
# The file file_input_raw was rewound 11 times
      rgb_lagged_sum|  28|   1000000|     100|0.75729665|  PASSED
# The file file_input_raw was rewound 12 times
      rgb_lagged_sum|  29|   1000000|     100|0.05617608|  PASSED
# The file file_input_raw was rewound 13 times
      rgb_lagged_sum|  30|   1000000|     100|0.82878543|  PASSED
# The file file_input_raw was rewound 14 times
      rgb_lagged_sum|  31|   1000000|     100|0.10421024|  PASSED
# The file file_input_raw was rewound 14 times
      rgb_lagged_sum|  32|   1000000|     100|0.35587813|  PASSED
# The file file_input_raw was rewound 14 times
     rgb_kstest_test|   0|     10000|    1000|0.48740798|  PASSED
# The file file_input_raw was rewound 14 times
     dab_bytedistrib|   0|  51200000|       1|0.96653568|  PASSED
# The file file_input_raw was rewound 14 times
             dab_dct| 256|     50000|       1|0.14040154|  PASSED
Preparing to run test 207.  ntuple = 0
# The file file_input_raw was rewound 14 times
        dab_filltree|  32|  15000000|       1|0.40147707|  PASSED
        dab_filltree|  32|  15000000|       1|0.86800081|  PASSED
Preparing to run test 208.  ntuple = 0
# The file file_input_raw was rewound 14 times
       dab_filltree2|   0|   5000000|       1|0.31046498|  PASSED
       dab_filltree2|   1|   5000000|       1|0.17175450|  PASSED
Preparing to run test 209.  ntuple = 0
# The file file_input_raw was rewound 14 times
        dab_monobit2|  12|  65000000|       1|0.72454131|  PASSED
